ticker,count,min,max,median,mean,std
SPHS,146,0.316,0.987,0.658,0.657,0.175
SPI,194,0.025,1.0,0.265,0.313,0.211
SPKE,194,0.493,1.0,0.848,0.821,0.106
SPKEP,194,0.025,0.67,0.164,0.193,0.095
SPLK,194,0.556,1.0,1.0,0.993,0.046
SPNE,194,0.265,1.0,0.727,0.721,0.206
SPNS,194,0.341,1.0,0.822,0.812,0.115
SPOK,194,0.24,1.0,0.74,0.731,0.156
SPPI,194,0.544,1.0,1.0,0.991,0.048
SPRO,194,0.215,1.0,0.594,0.591,0.17
SPRT,194,0.037,1.0,0.303,0.356,0.223
SPSC,194,0.329,1.0,0.962,0.931,0.088
SPT,100,0.531,1.0,0.962,0.935,0.077
SPTN,194,0.417,1.0,0.987,0.968,0.061
SPWH,194,0.544,1.0,1.0,0.985,0.053
SPWR,194,0.556,1.0,1.0,0.993,0.047
SQBG,194,0.151,0.987,0.518,0.555,0.215
SQLV,143,0.012,0.202,0.025,0.03,0.03
SQQQ,194,0.797,1.0,1.0,0.995,0.024
SRAC,40,0.012,0.329,0.037,0.052,0.06
SRACU,84,0.012,0.645,0.025,0.048,0.077
SRACW,5,0.012,0.025,0.012,0.014,0.005
SRAX,194,0.101,0.974,0.493,0.485,0.176
SRCE,194,0.291,0.949,0.626,0.621,0.138
SRCL,194,0.544,1.0,1.0,0.991,0.049
SRDX,194,0.354,1.0,0.759,0.742,0.132
SRET,194,0.518,1.0,0.962,0.937,0.074
SREV,194,0.265,1.0,0.816,0.769,0.187
SRNE,194,0.683,1.0,1.0,0.99,0.032
SRPT,194,0.506,1.0,1.0,0.99,0.059
SRRA,194,0.139,1.0,0.734,0.694,0.249
SRRK,194,0.303,0.987,0.67,0.674,0.155
SRTS,194,0.037,0.772,0.24,0.256,0.12
SRTSW,62,0.012,0.101,0.025,0.026,0.02
SSB,194,0.468,1.0,0.936,0.915,0.087
SSBI,168,0.012,0.227,0.063,0.071,0.049
SSFN,21,0.012,0.43,0.088,0.109,0.094
SSKN,194,0.037,0.835,0.278,0.305,0.161
SSNC,194,0.544,1.0,1.0,0.993,0.048
SSNT,189,0.012,1.0,0.126,0.193,0.188
SSP,194,0.493,1.0,0.987,0.973,0.056
SSPK,114,0.012,0.62,0.05,0.071,0.089
SSPKU,112,0.012,0.86,0.037,0.064,0.121
SSPKW,66,0.012,0.101,0.025,0.032,0.021
SSRM,194,0.556,1.0,1.0,0.993,0.046
SSSS,194,0.329,0.987,0.721,0.71,0.139
SSTI,194,0.367,1.0,0.886,0.856,0.108
SSYS,194,0.544,1.0,1.0,0.991,0.048
STAA,194,0.518,1.0,1.0,0.977,0.053
STAF,194,0.037,0.734,0.259,0.272,0.13
STAY,194,0.544,1.0,1.0,0.992,0.048
STBA,194,0.518,1.0,0.886,0.855,0.108
STCN,194,0.025,0.974,0.202,0.25,0.169
STFC,194,0.139,0.974,0.544,0.554,0.15
STIM,194,0.291,1.0,0.835,0.778,0.177
STKL,194,0.468,1.0,0.911,0.905,0.081
STKS,194,0.025,1.0,0.291,0.377,0.25
STLD,194,0.544,1.0,1.0,0.993,0.047
STML,194,0.531,1.0,1.0,0.986,0.05
STMP,194,0.518,1.0,1.0,0.984,0.051
STND,174,0.012,0.544,0.05,0.068,0.072
STNE,194,0.544,1.0,1.0,0.993,0.047
STNL,21,0.012,0.354,0.063,0.113,0.111
STNLU,7,0.012,0.05,0.012,0.019,0.014
STNLW,17,0.012,0.063,0.025,0.031,0.02
STOK,194,0.367,1.0,0.86,0.828,0.127
STRA,194,0.367,1.0,0.854,0.833,0.113
STRL,194,0.379,1.0,0.924,0.89,0.102
STRM,194,0.025,0.987,0.24,0.27,0.172
STRO,194,0.05,0.936,0.455,0.462,0.18
STRS,194,0.012,0.468,0.126,0.146,0.096
STRT,192,0.012,0.417,0.113,0.125,0.073
STSA,164,0.05,0.949,0.531,0.545,0.205
STX,194,0.556,1.0,1.0,0.993,0.046
STXB,194,0.177,0.924,0.493,0.506,0.168
SUMR,194,0.012,1.0,0.227,0.282,0.208
SUNS,194,0.215,0.974,0.518,0.535,0.16
SUNW,194,0.063,1.0,0.848,0.776,0.208
SUPN,194,0.544,1.0,1.0,0.99,0.049
SURF,194,0.063,1.0,0.556,0.554,0.238
SUSB,194,0.139,0.936,0.341,0.375,0.14
SUSC,194,0.088,0.924,0.265,0.304,0.155
SUSL,186,0.012,1.0,0.126,0.195,0.224
SVBI,194,0.012,0.531,0.126,0.151,0.088
SVC,156,0.544,1.0,1.0,0.991,0.053
SVMK,194,0.518,1.0,1.0,0.99,0.051
SVRA,194,0.582,1.0,0.936,0.914,0.087
SVVC,194,0.025,0.696,0.177,0.192,0.115
SWAV,194,0.544,1.0,1.0,0.979,0.053
SWIR,194,0.531,1.0,0.974,0.957,0.059
SWKH,71,0.012,0.632,0.113,0.134,0.119
SWKS,194,0.556,1.0,1.0,0.993,0.045
SWTX,164,0.392,1.0,0.797,0.772,0.158
SXTC,194,0.025,1.0,0.632,0.641,0.315
SY,194,0.455,1.0,0.962,0.93,0.092
SYBT,194,0.139,0.962,0.594,0.598,0.153
SYBX,194,0.405,1.0,0.886,0.846,0.129
SYKE,194,0.481,1.0,0.949,0.926,0.078
SYMC,22,0.911,1.0,1.0,0.994,0.02
SYNA,194,0.544,1.0,1.0,0.991,0.049
SYNC,194,0.075,0.911,0.417,0.438,0.174
SYNH,194,0.518,1.0,1.0,0.988,0.051
SYNL,194,0.012,0.835,0.202,0.235,0.145
SYPR,192,0.012,0.443,0.139,0.154,0.094
SYRS,194,0.544,1.0,0.936,0.897,0.104
TA,194,0.177,1.0,0.594,0.609,0.198
TACO,194,0.481,1.0,0.974,0.961,0.063
TACOW,161,0.012,0.759,0.05,0.078,0.087
TACT,193,0.012,0.772,0.177,0.213,0.128
TAIT,194,0.025,0.696,0.189,0.208,0.113
TANH,194,0.05,0.974,0.512,0.504,0.265
TANNI,194,0.025,0.721,0.164,0.193,0.128
TANNL,194,0.012,0.759,0.139,0.177,0.116
TANNZ,193,0.012,0.556,0.113,0.145,0.106
TAOP,194,0.025,0.784,0.227,0.251,0.135
TARA,82,0.012,0.493,0.177,0.196,0.136
TAST,194,0.531,1.0,1.0,0.979,0.053
TATT,160,0.012,0.227,0.037,0.046,0.035
TAYD,175,0.012,0.392,0.063,0.077,0.068
TBBK,194,0.43,1.0,0.962,0.938,0.079
TBIO,194,0.43,1.0,0.936,0.912,0.085
TBK,194,0.506,1.0,0.898,0.882,0.096
TBLT,193,0.392,1.0,0.974,0.913,0.123
TBLTU,55,0.012,0.303,0.037,0.065,0.075
TBLTW,165,0.012,0.518,0.05,0.082,0.083
TBNK,194,0.037,0.607,0.227,0.24,0.113
TBPH,194,0.493,1.0,0.962,0.937,0.073
TC,194,0.012,0.658,0.145,0.168,0.117
TCBI,194,0.506,1.0,1.0,0.985,0.052
TCBIL,180,0.012,0.67,0.05,0.078,0.086
TCBIP,194,0.012,0.62,0.119,0.155,0.117
TCBK,194,0.227,0.974,0.708,0.711,0.142
TCCO,193,0.012,1.0,0.164,0.242,0.228
TCDA,194,0.468,1.0,0.936,0.913,0.084
TCF,194,0.544,1.0,1.0,0.992,0.048
TCFC,194,0.012,0.405,0.101,0.11,0.067
TCFCP,192,0.012,0.607,0.164,0.18,0.114
TCGP,22,0.227,0.936,0.398,0.456,0.175
TCMD,194,0.506,1.0,0.936,0.918,0.078
TCOM,127,0.556,1.0,1.0,0.99,0.056
TCON,194,0.164,1.0,0.645,0.636,0.246
TCPC,194,0.531,1.0,0.974,0.951,0.067
TCRD,194,0.253,1.0,0.676,0.681,0.181
TCRR,194,0.379,0.987,0.721,0.73,0.124
TCX,194,0.253,1.0,0.632,0.64,0.156
TDAC,98,0.012,0.24,0.025,0.04,0.041
TDACU,36,0.012,0.113,0.025,0.029,0.024
TDACW,132,0.012,0.468,0.025,0.051,0.062
TDIV,194,0.379,0.987,0.784,0.791,0.12
TEAM,194,0.544,1.0,1.0,0.993,0.048
TECD,194,0.544,1.0,1.0,0.981,0.049
TECH,194,0.367,1.0,0.924,0.899,0.089
TECTP,106,0.012,0.139,0.025,0.032,0.024
TEDU,194,0.24,1.0,0.727,0.702,0.19
TELA,124,0.177,1.0,0.544,0.56,0.207
TELL,194,0.556,1.0,1.0,0.992,0.046
TENB,194,0.531,1.0,1.0,0.984,0.051
TENX,194,0.088,0.911,0.316,0.369,0.19
TER,194,0.556,1.0,1.0,0.993,0.047
TERP,194,0.544,1.0,1.0,0.992,0.048
TESS,194,0.113,1.0,0.518,0.523,0.159
TEUM,194,0.632,1.0,1.0,0.993,0.037
TFFP,134,0.025,0.974,0.227,0.277,0.191
TFSL,194,0.455,1.0,0.942,0.925,0.078
TGA,194,0.253,0.962,0.607,0.604,0.162
TGEN,193,0.012,0.962,0.126,0.178,0.165
TGLS,194,0.151,0.987,0.493,0.522,0.188
TGTX,194,0.569,1.0,1.0,0.993,0.046
TH,194,0.481,1.0,0.911,0.868,0.119
THBR,95,0.012,0.544,0.037,0.057,0.067
THBRU,117,0.012,0.632,0.037,0.072,0.091
THBRW,74,0.012,0.531,0.025,0.044,0.074
THCA,104,0.012,0.784,0.025,0.064,0.109
THCAU,88,0.012,0.417,0.025,0.034,0.047
THCAW,53,0.012,0.101,0.025,0.027,0.02
THCB,156,0.012,0.797,0.05,0.079,0.1
THCBU,108,0.012,0.139,0.025,0.03,0.026
THCBW,137,0.012,0.151,0.025,0.039,0.034
THFF,194,0.139,0.924,0.518,0.52,0.155
THMO,129,0.05,1.0,0.455,0.544,0.279
THOR,120,0.253,1.0,0.702,0.682,0.226
THRM,194,0.329,1.0,0.917,0.893,0.093
THTX,145,0.189,0.987,0.493,0.506,0.179
THWWW,110,0.012,0.227,0.037,0.051,0.045
TIBR,130,0.012,0.911,0.063,0.109,0.127
TIBRU,41,0.012,0.126,0.012,0.024,0.024
TIBRW,111,0.012,0.607,0.037,0.072,0.096
TIGO,194,0.088,1.0,0.537,0.551,0.216
TIGR,194,0.43,1.0,0.828,0.815,0.121
TILE,194,0.468,1.0,0.987,0.967,0.059
TIPT,194,0.037,0.873,0.379,0.399,0.181
TITN,194,0.417,1.0,0.886,0.867,0.098
TIVO,194,0.544,1.0,1.0,0.991,0.048
TKKS,110,0.012,0.974,0.075,0.149,0.197
TKKSR,100,0.012,0.873,0.037,0.079,0.116
TKKSU,36,0.012,0.151,0.018,0.034,0.036
TKKSW,80,0.012,0.253,0.025,0.037,0.041
TLC,165,0.012,0.518,0.037,0.052,0.064
TLF,189,0.012,0.759,0.126,0.161,0.126
TLGT,194,0.215,1.0,0.683,0.659,0.193
TLND,194,0.506,1.0,0.974,0.946,0.07
TLRY,194,0.607,1.0,1.0,0.994,0.038
TLSA,183,0.012,1.0,0.151,0.288,0.309
TLT,194,0.62,1.0,1.0,0.993,0.04
TMCX,74,0.025,0.987,0.417,0.47,0.31
TMCXU,31,0.012,0.101,0.025,0.03,0.021
TMCXW,74,0.012,0.759,0.208,0.254,0.172
TMDI,193,0.329,1.0,0.784,0.768,0.149
TMDX,194,0.329,1.0,0.797,0.769,0.153
TMSR,192,0.012,0.772,0.113,0.15,0.127
TMUS,194,0.556,1.0,1.0,0.993,0.045
TNAV,194,0.544,1.0,0.987,0.965,0.062
TNDM,194,0.556,1.0,1.0,0.991,0.052
TNXP,194,0.291,1.0,0.962,0.847,0.191
TOCA,194,0.506,1.0,0.936,0.901,0.099
TOPS,194,0.443,1.0,0.936,0.888,0.124
TORC,194,0.544,1.0,0.955,0.91,0.105
TOTA,81,0.012,0.544,0.025,0.036,0.076
TOTAR,54,0.012,0.582,0.025,0.055,0.092
TOTAU,3,0.012,0.05,0.025,0.029,0.019
TOTAW,21,0.012,0.05,0.012,0.018,0.011
TOUR,194,0.075,0.962,0.373,0.411,0.184
TOWN,194,0.443,1.0,0.898,0.877,0.093
TPCO,194,0.379,1.0,0.772,0.762,0.146
TPIC,194,0.493,1.0,1.0,0.988,0.051
TPTX,194,0.544,1.0,0.974,0.938,0.086
TQQQ,194,0.696,1.0,1.0,0.995,0.029
TRCB,85,0.05,0.86,0.265,0.296,0.15
TRCH,194,0.316,1.0,0.645,0.649,0.149
TREE,194,0.392,1.0,0.886,0.869,0.104
TRHC,194,0.417,1.0,0.987,0.971,0.059
TRIB,194,0.037,1.0,0.512,0.541,0.308
TRIL,194,0.278,1.0,0.911,0.768,0.247
TRIP,194,0.544,1.0,1.0,0.993,0.048
TRMB,194,0.544,1.0,1.0,0.992,0.048
TRMD,108,0.012,1.0,0.031,0.129,0.261
TRMK,194,0.455,1.0,0.974,0.956,0.062
TRMT,194,0.113,0.962,0.443,0.457,0.18
TRNS,194,0.088,0.696,0.316,0.324,0.117
TRNX,190,0.734,1.0,1.0,0.991,0.029
TROV,194,0.303,1.0,0.74,0.74,0.178
TROW,194,0.556,1.0,1.0,0.993,0.047
TRPX,194,0.139,1.0,0.544,0.575,0.241
TRS,194,0.379,1.0,0.886,0.864,0.11
TRST,194,0.493,1.0,0.974,0.946,0.075
TRUE,194,0.544,1.0,1.0,0.99,0.049
TRUP,194,0.531,1.0,0.987,0.96,0.061
TRVG,194,0.455,1.0,0.936,0.916,0.083
TRVI,192,0.012,1.0,0.151,0.182,0.141
TRVN,194,0.582,1.0,0.962,0.939,0.066
TSBK,194,0.012,0.594,0.215,0.221,0.108
TSC,194,0.341,1.0,0.873,0.837,0.136
TSCAP,169,0.012,0.354,0.037,0.046,0.043
TSCBP,192,0.012,0.468,0.101,0.107,0.071
TSCO,194,0.544,1.0,1.0,0.993,0.048
TSEM,194,0.544,1.0,0.993,0.978,0.052
TSG,191,0.544,1.0,1.0,0.992,0.049
TSLA,194,0.734,1.0,1.0,0.995,0.025
TSRI,132,0.012,0.886,0.025,0.063,0.117
TTD,194,0.569,1.0,1.0,0.993,0.045
TTEC,194,0.316,1.0,0.886,0.859,0.118
TTEK,194,0.518,1.0,0.987,0.976,0.052
TTGT,194,0.455,1.0,0.949,0.922,0.075
TTMI,194,0.531,1.0,1.0,0.991,0.049
TTNP,194,0.443,1.0,1.0,0.936,0.126
TTOO,194,0.544,1.0,1.0,0.97,0.061
TTPH,194,0.291,1.0,0.708,0.702,0.192
TTS,22,0.898,1.0,0.987,0.974,0.032
TTTN,171,0.012,0.481,0.05,0.082,0.095
TTWO,194,0.556,1.0,1.0,0.993,0.047
TUES,194,0.316,1.0,0.734,0.74,0.158
TUR,194,0.493,1.0,0.974,0.943,0.073
TURN,194,0.075,0.924,0.253,0.289,0.157
TUSA,161,0.012,0.405,0.037,0.053,0.051
TUSK,194,0.417,1.0,0.962,0.932,0.084
TVIX,194,0.797,1.0,1.0,0.996,0.019
TVTY,194,0.531,1.0,1.0,0.991,0.049
TW,194,0.531,1.0,1.0,0.981,0.052
TWIN,194,0.215,0.949,0.518,0.52,0.153
TWMC,194,0.012,1.0,0.341,0.362,0.192
