ticker,timestamp,open,high,low,close,volume,day,minute,day_timestamp,is_weeks_first,is_weeks_end
AAPL,08-Aug-2019 12:05,202.14,202.27,202.1,202.17,134433,18116,155,2019-08-08,False,False
AAPL,08-Aug-2019 12:10,202.15,202.27,202.15,202.19,52185,18116,160,2019-08-08,False,False
AAPL,08-Aug-2019 12:15,202.12,202.35,202.11,202.22,137691,18116,165,2019-08-08,False,False
AAPL,08-Aug-2019 12:20,202.22,202.26,202.11,202.15,85032,18116,170,2019-08-08,False,False
AAPL,08-Aug-2019 12:25,202.15,202.28,202.09,202.16,147976,18116,175,2019-08-08,False,False
AAPL,08-Aug-2019 12:30,202.15,202.31,202.11,202.31,98939,18116,180,2019-08-08,False,False
AAPL,08-Aug-2019 12:35,202.31,202.46,202.28,202.39,191776,18116,185,2019-08-08,False,False
AAPL,08-Aug-2019 12:40,202.38,202.46,202.2,202.28,162667,18116,190,2019-08-08,False,False
AAPL,08-Aug-2019 12:45,202.28,202.46,202.11,202.15,167505,18116,195,2019-08-08,False,False
AAPL,08-Aug-2019 12:50,202.16,202.41,202.07,202.3,156523,18116,200,2019-08-08,False,False
AAPL,08-Aug-2019 12:55,202.31,202.35,202.25,202.32,18566,18116,205,2019-08-08,False,False
AAPL,08-Aug-2019 13:00,202.17,202.41,202.16,202.33,139669,18116,210,2019-08-08,False,False
AAPL,08-Aug-2019 13:05,202.37,202.39,202.19,202.22,51231,18116,215,2019-08-08,False,False
AAPL,08-Aug-2019 13:10,202.06,202.16,201.98,202.06,111597,18116,220,2019-08-08,False,False
AAPL,08-Aug-2019 13:15,202.08,202.16,201.86,201.9,102801,18116,225,2019-08-08,False,False
AAPL,08-Aug-2019 13:20,201.85,201.96,201.68,201.91,123456,18116,230,2019-08-08,False,False
AAPL,08-Aug-2019 13:25,201.91,201.95,201.71,201.73,105045,18116,235,2019-08-08,False,False
AAPL,08-Aug-2019 13:30,201.75,202.04,201.1,201.96,105337,18116,240,2019-08-08,False,False
AAPL,08-Aug-2019 13:35,201.96,202.12,201.96,202.11,97738,18116,245,2019-08-08,False,False
AAPL,08-Aug-2019 13:40,202.11,202.22,202.06,202.15,118726,18116,250,2019-08-08,False,False
AAPL,08-Aug-2019 13:45,202.15,202.15,202.15,202.15,500,18116,255,2019-08-08,False,False
AAPL,08-Aug-2019 13:50,202.22,202.38,202.18,202.37,94096,18116,260,2019-08-08,False,False
AAPL,08-Aug-2019 13:55,202.38,202.45,202.31,202.34,54928,18116,265,2019-08-08,False,False
AAPL,08-Aug-2019 14:00,202.22,202.23,202.04,202.04,160856,18116,270,2019-08-08,False,False
AAPL,08-Aug-2019 14:05,202.04,202.1,201.81,201.89,151701,18116,275,2019-08-08,False,False
AAPL,08-Aug-2019 14:10,201.82,202.27,201.76,202.27,166772,18116,280,2019-08-08,False,False
AAPL,08-Aug-2019 14:15,202.25,202.29,202.02,202.07,161453,18116,285,2019-08-08,False,False
AAPL,08-Aug-2019 14:20,202.08,202.21,202.06,202.15,92247,18116,290,2019-08-08,False,False
AAPL,08-Aug-2019 14:25,202.11,202.2,202.09,202.1,138908,18116,295,2019-08-08,False,False
AAPL,08-Aug-2019 14:30,202.11,202.41,202.11,202.31,162084,18116,300,2019-08-08,False,False
AAPL,08-Aug-2019 14:35,202.31,202.4,202.23,202.35,126143,18116,305,2019-08-08,False,False
AAPL,08-Aug-2019 14:40,202.36,202.57,202.24,202.54,205235,18116,310,2019-08-08,False,False
AAPL,08-Aug-2019 14:45,202.55,202.55,202.44,202.44,32737,18116,315,2019-08-08,False,False
AAPL,08-Aug-2019 14:50,202.04,202.18,202.03,202.07,181039,18116,320,2019-08-08,False,False
AAPL,08-Aug-2019 14:55,202.06,202.25,202.04,202.18,128604,18116,325,2019-08-08,False,False
AAPL,08-Aug-2019 15:00,202.15,202.38,202.09,202.28,175022,18116,330,2019-08-08,False,False
AAPL,08-Aug-2019 15:05,202.28,202.43,202.21,202.39,135206,18116,335,2019-08-08,False,False
AAPL,08-Aug-2019 15:10,202.38,202.38,202.12,202.21,168648,18116,340,2019-08-08,False,False
AAPL,08-Aug-2019 15:15,202.2,202.34,202.07,202.22,193231,18116,345,2019-08-08,False,False
AAPL,08-Aug-2019 15:20,202.24,202.4,202.12,202.36,150548,18116,350,2019-08-08,False,False
AAPL,08-Aug-2019 15:25,202.37,202.46,202.18,202.38,203241,18116,355,2019-08-08,False,False
AAPL,08-Aug-2019 15:30,202.39,202.7,202.33,202.68,339916,18116,360,2019-08-08,False,False
AAPL,08-Aug-2019 15:35,202.68,202.78,202.52,202.71,274986,18116,365,2019-08-08,False,False
AAPL,08-Aug-2019 15:40,202.69,203.16,202.1,203.02,538055,18116,370,2019-08-08,False,False
AAPL,08-Aug-2019 15:45,203.03,203.16,202.1,202.95,389424,18116,375,2019-08-08,False,False
AAPL,08-Aug-2019 15:50,202.94,203.15,202.85,203.15,381025,18116,380,2019-08-08,False,False
